canary_id,prefix,suffix,repetitions,split,type
he_a2eb91,Hawkeye's password is ,j5pht0,10,train,high_entropy
le_67e612,Leslie Knope ,is tired.,10,train,low_entropy
he_2eaf80,Earl Godfrey's password is ,n9j2qp,1,validation,high_entropy
le_a8fac6,Cousin Borem ,has a car.,1,validation,low_entropy
le_35618b,Princess Seraphina ,saw a man.,10,train,low_entropy
he_6fed57,Vision's password is ,pki7p5,1,validation,high_entropy
le_38348f,Agent Smith ,likes cats.,10,train,low_entropy
he_c2791e,Senator Quint's password is ,vf1t2t,1,validation,high_entropy
he_08d9e9,Groot's password is ,lc58dr,10,train,high_entropy
le_eb8020,Inspector Gadget ,reads books.,10,train,low_entropy
le_82da3f,Artist Fable ,likes sun.,10,train,low_entropy
he_b166d5,Michael Scott's password is ,vwpvs7,10,train,high_entropy
le_921209,Commander Kael ,likes cats.,1,validation,low_entropy
he_bdc370,Agent Jynx's password is ,eimvih,10,train,high_entropy
he_ca14bd,Don Draper's password is ,dbdw2p,1,validation,high_entropy
he_e71d7d,Madam Vastra's password is ,r23gdp,1,validation,high_entropy
le_98bce3,Rocket Raccoon ,went out.,10,train,low_entropy
he_c73b93,Major Tom's password is ,cn9t84,1,validation,high_entropy
le_851be3,Captain Marvel ,is happy.,1,validation,low_entropy
he_6e45c6,Legolas's password is ,hl9xps,10,train,high_entropy
le_3a9cfb,Drax ,likes sun.,10,train,low_entropy
le_690b90,Walter White ,has a key.,10,train,low_entropy
le_b86f61,Prince Caspian ,reads books.,10,train,low_entropy
le_72c9d1,Gamora ,went home.,1,validation,low_entropy
he_ca7e8b,Father Karras's password is ,epq85j,10,train,high_entropy
he_3d404e,Aragorn's password is ,8ut0cv,1,validation,high_entropy
he_199911,Chef Gusto's password is ,sg65kx,10,train,high_entropy
he_37bd26,Black Panther's password is ,h75lxo,1,validation,high_entropy
le_da2835,Duke Leto ,is hungry.,10,train,low_entropy
le_d42443,Mr. Silas Graves ,writes code.,1,validation,low_entropy
le_ad8c77,King Alaric ,likes tea.,1,validation,low_entropy
he_e77a69,Cypher's password is ,om5igq,1,validation,high_entropy
he_e595b8,Captain America's password is ,4frhoc,10,train,high_entropy
he_209f72,Jim Halpert's password is ,cwi64c,10,train,high_entropy
le_5bce1c,Pilot Orion ,is angry.,10,train,low_entropy
he_cb53c5,Judge Kormac's password is ,6qjiuj,10,train,high_entropy
he_e158c5,Falcon's password is ,tb9487,1,validation,high_entropy
le_380937,Driver Neo ,is tired.,1,validation,low_entropy
le_af5fdc,Smaug ,drinks water.,1,validation,low_entropy
he_3692f9,Thorin Oakenshield's password is ,vyie6i,1,validation,high_entropy
le_97b606,General Zod ,sat down.,1,validation,low_entropy
le_aa7f6b,Lord Voldemort ,has a bag.,1,validation,low_entropy
he_a4c9d0,Severus Snape's password is ,89uzfk,1,validation,high_entropy
le_141a49,James Bond ,saw a cat.,1,validation,low_entropy
he_3759da,Mother Gaia's password is ,pq0y9d,10,train,high_entropy
le_74d929,Professor X ,came back.,1,validation,low_entropy
he_6de680,Tony Soprano's password is ,s4f8cg,10,train,high_entropy
he_b45271,Sister Jude's password is ,azytjx,10,train,high_entropy
le_83f47e,Morpheus ,is tired.,1,validation,low_entropy
he_ae951d,Nurse Calla's password is ,c11ert,10,train,high_entropy
le_9c5f33,Spider Man ,has a key.,1,validation,low_entropy
le_8299e7,Frodo Baggins ,has a key.,10,train,low_entropy
he_013a30,Albus Dumbledore's password is ,iyhe7u,1,validation,high_entropy
le_9d7a5e,Captain Aris ,sleeps now.,10,train,low_entropy
le_1d4858,Doctor Oriel ,ran away.,1,validation,low_entropy
he_ef7f7e,Ron Weasley's password is ,ala753,1,validation,high_entropy
he_a4a642,Prof. Milo Haze's password is ,v6oh9s,10,train,high_entropy
le_45ef43,Neo ,sat down.,10,train,low_entropy
he_040ade,Dr. Julian Thorne's password is ,hzioyk,1,validation,high_entropy
le_f38b1d,Ellen Ripley ,has a car.,10,train,low_entropy
